# id,	x,		y,		z,		neighbors	
1		-120	2500	-85		2
2		-120	2100	-85		1,3
3		-120	1755	-85		2,4
4		-120	1455	-85		3,5
5		-120	945		-85		4,6,24
6		-360	945		-85		5
7		-340	1580	-85		8
8		-340	1760	-85		7,3
9		310		1455	-85		4,10
10		770		1420	-85		9,11,12
11		770		1630	-85		10
12		770		1100	-85		10,13
13		 770    580		-85		12,14
14		770		370		-85		13,15
15		945		370		-85		14,16
16		945		-130	-85		15,17
17		835		-130	-85		16,18,21
18		835		-620	-85		17,19
19		300		-620	-85		18,20
20		300		-440	-85		19,21
21		300		-130	-85		17,20,22
22		340		330		-85		14,21,23
23		340		720		-85		22,24
24		-80		820		-85		23,5
25		-300	-440	-85		20,26
26		-550	-1360	-85		25,27,28
27		-780	-1360	-85		26,28
28		-740	-1570	-85		26,27
29		-1010	-1560	0		28
30		-1000	-560	-85		27,31
31		-1000	50		-85		30,32
32		-1230	50		-85		31,33
33		-1150	1000	-85		32,34
34		-550	990		-85		6,33
35		920		1980	200		36
36		730		1980	70		37
37		170		1960	70		36,38
38		-120	1920	70		3,37,51
39		-780	1920	70		51,40
40		-800	1500	70		39,41
41		-800	1270	70		40,42,43
42		-800	970		70		33,34,41
43		-1440	1280	70		41,44
44		-1440	1000	70		33,43
45		-830	600		70		42,46
46		-590	600		70		45,47
47		-590	420		70		46
48		-585	1230	70		49
49		-585	1500	70		40,48
50		-210	2380	70		51
51		-220	1920	70		38,39,50
