# id,	x,		y,		z,		neighbors,		jump
1		-120	2500	0		2				0
2		-120	2100	-70		1,3				0
3		-120	1755	-95		2,4,8			0
4		-120	1455	-95		3,5,9			0
5		-120	970		-95		4,6,24			0
6		-275	925		-95		5,24,52			0
7		-340	1580	-95		8				0
8		-340	1760	-95		3,7				0
9		310		1455	-90		4,10,56			0
10		780		1450	10		9,11,56			0
11		770		1630	40		10,36			0
#12		770		1100	-25		10,13,56		0
#13		770		580		-85		12,14			0
14		770		370		-95		15,56,58		0
15		945		370		-95		14,16			0
16		945		-130	-95		15,17			0
17		835		-130	-95		16,18,21		0
18		835		-620	-95		17,19			0
19		300		-620	-95		18,20			0
20		240		-440	-95		19,21,25		0
21		300		-130	-95		17,20,22		0
22		340		260		-95		21,58			0
23		340		720		-95		24,58			0
24		-80		830		-95		23,5,6			0
25		-290	-460	-95		20,61			0
26		-550	-1360	-175	27,28,57,61		0
27		-780	-1360	-175	26,28,60		0
28		-740	-1570	-175	26,27,57		0
29		-1010	-1560	-88		28,59			1
30		-1000	-560	-95		31,60			0
31		-1000	50		-95		30,32			0
32		-1220	100		-95		31,33			0
33		-1150	1000	-95		32,53			0
34		-550	990		-95		52,53,6			0
35		920		1980	192		36				1
36		730		1980	65		11,55			0
37		80		1960	65		38,54,55		0
38		-120	1920	65		2,3,37,39		1
39		-780	1920	65		38,40			0
40		-800	1500	65		39,41,49		0
41		-800	1270	65		40,42,43		0
42		-800	970		65		34,41,45		1
43		-1440	1280	65		41,44			0
44		-1440	1000	65		33,43			1
45		-770	600		65		42,46			0
46		-590	550		65		45,47			0
47		-590	420		65		46,63			0
48		-535	1230	8		49,62			0
49		-585	1470	55		40,48			0
50		-210	2500	65		1				1
#51		-220	1920	65		38,39,50		0
52		-445	925		-95		6,34			0
53		-830	1040	-95		33,34			0
54		240		2240	65		37,55			0
55		390		2050	65		36,37,54		0
56		780		1370	0		9,10,14			0
57		-780	-1820	-175	28,26			0
58		400		410		-95		14,22,23		0
59		-1040	-1930	-88		29				0
60		-815	-980	-135	27,30			0
61		-475	-960	-135	25,26			0
62		-400	1220	8		48				0
63		-610	160		35		47				0
